reg_name,field_name,bits,addr,sw_attr,hw_attr,rst_val,reg_attr,description
RX1_MSB_TEMP1,rx1_i_msb_temp1,0:0,63,rw,rw we,'0,::sync_rst,
RX1_MSB_TEMP1,rx1_q_msb_temp1,1:1,63,rw,rw we,'0,::sync_rst,
RX1_MSB_TEMP1,rx1_av_msb_temp1,4:2,63,rw,rw we,'0,::sync_rst,
RX1_I_LSB_TEMP2,rx1_i_lsb_temp2,7:0,64,rw,rw we,'0,::sync_rst,I for RX1 Phase
RX1_Q_LSB_TEMP2,rx1_q_lsb_temp2,7:0,65,rw,rw we,'0,::sync_rst,Q for RX1 Phase
RX1_AV_LSB_TEMP2,rx1_av_lsb_temp2,7:0,66,rw,rw we,'0,::sync_rst,AV for RX1 Gain
RX1_MSB_TEMP2,rx1_i_msb_temp2,0:0,67,rw,rw we,'0,::sync_rst,
RX1_MSB_TEMP2,rx1_q_msb_temp2,1:1,67,rw,rw we,'0,::sync_rst,
RX1_MSB_TEMP2,rx1_av_msb_temp2,4:2,67,rw,rw we,'0,::sync_rst,
RX1_I_LSB_TEMP3,rx1_i_lsb_temp3,7:0,68,rw,rw we,'0,::sync_rst,I for RX1 Phase
RX1_Q_LSB_TEMP3,rx1_q_lsb_temp3,7:0,69,rw,rw we,'0,::sync_rst,Q for RX1 Phase
RX1_AV_LSB_TEMP3,rx1_av_lsb_temp3,7:0,70,rw,rw we,'0,::sync_rst,AV for RX1 Gain
RX1_MSB_TEMP3,rx1_i_msb_temp3,0:0,71,rw,rw we,'0,::sync_rst,
RX1_MSB_TEMP3,rx1_q_msb_temp3,1:1,71,rw,rw we,'0,::sync_rst,
RX1_MSB_TEMP3,rx1_av_msb_temp3,4:2,71,rw,rw we,'0,::sync_rst,
TX2_I_LSB,tx2_i_lsb,7:0,72,rw,rw we,'0,::sync_rst,I for TX2 Phase
TX2_Q_LSB,tx2_q_lsb,7:0,73,rw,rw we,'0,::sync_rst,Q for TX2 Phase
TX2_AV_LSB,tx2_av_lsb,7:0,74,rw,rw we,'0,::sync_rst,AV for TX2 Gain
TX2_MSB,tx2_i_msb,0:0,75,rw,rw we,'0,::sync_rst,
TX2_MSB,tx2_q_msb,1:1,75,rw,rw we,'0,::sync_rst,
TX2_MSB,tx2_av_msb,4:2,75,rw,rw we,'0,::sync_rst,
TX2_FINAL_AV,tx2_final_av,4:0,76,rw,rw we,'0,::sync_rst,
RX2_I_LSB_TEMP0,rx2_i_lsb_temp0,7:0,77,rw,rw we,'0,::sync_rst,I for RX2 Phase
RX2_Q_LSB_TEMP0,rx2_q_lsb_temp0,7:0,78,rw,rw we,'0,::sync_rst,Q for RX2 Phase
RX2_AV_LSB_TEMP0,rx2_av_lsb_temp0,7:0,79,rw,rw we,'0,::sync_rst,AV for RX2 Gain
RX2_MSB_TEMP0,rx2_i_msb_temp0,0:0,80,rw,rw we,'0,::sync_rst,
RX2_MSB_TEMP0,rx2_q_msb_temp0,1:1,80,rw,rw we,'0,::sync_rst,
RX2_MSB_TEMP0,rx2_av_msb_temp0,4:2,80,rw,rw we,'0,::sync_rst,
