reg_name,field_name,bits,addr,sw_attr,hw_attr,rst_val,reg_attr,description
REG1_ADC,bypass_clk_for_adc,1:1,157,rw,r,'0,::sync_rst,Bypass/external clock for ADC
REG1_ADC,rsvd11,7:2,157,rw,r,'0,::sync_rst,floating/not used
ADC_CTRL,en_adc_osc,0:0,158,rw,r,'0,::sync_rst,
ADC_CTRL,en_adc,1:1,158,rw,r,'0,::sync_rst,
ADC_STS,eoc,0:0,159,r,w,'0,,
REG0_SPARE,ch0_tx_obs_13_10,3:0,160,rw,r,'0,::sync_rst,observation/atb bits for channel 0 TX
REG0_SPARE,ch1_tx_obs_13_10,7:4,160,rw,r,'0,::sync_rst,observation/atb bits for channel 1 TX
REG1_SPARE,ch2_tx_obs_13_10,3:0,161,rw,r,'0,::sync_rst,observation/atb bits for channel 2 TX
REG1_SPARE,ch3_tx_obs_13_10,7:4,161,rw,r,'0,::sync_rst,observation/atb bits for channel 3 TX
REG2_SPARE,txlna_curr_ctrl,1:0,162,rw,r,'0,::sync_rst,Common TX LNA block tail sink current control
REG2_SPARE,txlna_obs,4:2,162,rw,r,'0,::sync_rst,observation/atb bits for common TX LNA
REG2_SPARE,low_pdn_curr_tx,5:5,162,rw,r,'0,::sync_rst,Enable low current power-down mode for TX
REG2_SPARE,low_pdn_curr_rx,6:6,162,rw,r,'0,::sync_rst,Enable low current power-down mode for RX
REG2_SPARE,low_pdn_curr_temp_sns,7:7,162,rw,r,'0,::sync_rst,Enable low current power-down mode for Temperature Sense block
REG3_SPARE,pk_det_obs,3:0,163,rw,r,'0,::sync_rst,observation/atb bits for peak detector
REG3_SPARE,temp_sense_obs,4:4,163,rw,r,'0,::sync_rst,observation/atb bits for temp sense
REG3_SPARE,temp_sense_adc_obs,5:5,163,rw,r,'0,::sync_rst,observation/atb bits for temp sense flash adc
REG3_SPARE,rsvd12,7:6,163,rw,r,'0,::sync_rst,floating/not used
TR_CTRL,RX_en_force,3:0,164,rw,r,'0,::sync_rst,
TR_CTRL,RX_en_force_val,7:4,164,rw,r,'0,::sync_rst,
TR_CTRL_1,TX_en_force,3:0,165,rw,r,'0,::sync_rst,
TR_CTRL_1,TX_en_force_val,7:4,165,rw,r,'0,::sync_rst,
TR_CTRL_2,det_en_force,3:0,166,rw,r,'0,::sync_rst,
TR_CTRL_2,det_en_force_val,7:4,166,rw,r,'0,::sync_rst,
TR_CTRL_3,en_lna_force,3:0,167,rw,r,'0,::sync_rst,
TR_CTRL_3,en_lna_force_val,7:4,167,rw,r,'0,::sync_rst,
TR_CTRL_4,en_pa_force,3:0,168,rw,r,'0,::sync_rst,
TR_CTRL_4,en_pa_force_val,7:4,168,rw,r,'0,::sync_rst,
TR_CTRL_5,en_pos_sw_force,0:0,169,rw,r,'0,::sync_rst,
TR_CTRL_5,en_pos_sw_force_val,1:1,169,rw,r,'0,::sync_rst,
TR_CTRL_5,TX_lna_en_force,2:2,169,rw,r,'0,::sync_rst,
TR_CTRL_5,TX_lna_en_force_val,3:3,169,rw,r,'0,::sync_rst,
TR_CTRL_5,en_neg_sw_force,4:4,169,rw,r,'0,::sync_rst,
TR_CTRL_5,en_neg_sw_force_val,5:5,169,rw,r,'0,::sync_rst,
TR_CTRL_5,en_pol,6:6,169,rw,r,'0,::sync_rst,
TR_MASK,tx_mask,3:0,170,rw,r,'0,::sync_rst,
TR_MASK,rx_mask,7:4,170,rw,r,'0,::sync_rst,
TR_SW_CTRL,tr_reg,0:0,171,rw,r,'0,::sync_rst,tr pin control of reg
TR_CFG,tr_mode_sel,0:0,172,rw,r,'0,::sync_rst,1 = tr pin controlled by sw
TR_CFG,data_path_en,1:1,172,rw,r,'0,::sync_rst,0 = tr pin/reg donot have any effect
TX_BEAM_START_ADDR,tx_beam_start_addr,6:0,173,rw,r,'0,::update::sync_rst,start location of beam position tx
TX_BEAM_STOP_ADDR,tx_beam_stop_addr,6:0,174,rw,r,127,::sync_rst,stop location of beam position tx 
RX_BEAM_START_ADDR,rx_beam_start_addr,6:0,175,rw,r,'0,::update::sync_rst,start location of beam position rx
RX_BEAM_STOP_ADDR,rx_beam_stop_addr,6:0,176,rw,r,127,::sync_rst,stop location of beam position rx
TX_GAIN_FORCE,tx0_final_gain_force,0:0,177,rw,r,'0,::sync_rst,Set 1 to SW force the final gain
TX_GAIN_FORCE,tx1_final_gain_force,1:1,177,rw,r,'0,::sync_rst,
TX_GAIN_FORCE,tx2_final_gain_force,2:2,177,rw,r,'0,::sync_rst,
TX_GAIN_FORCE,tx3_final_gain_force,3:3,177,rw,r,'0,::sync_rst,
TX_GAIN_FORCE,tx0_gain_force,4:4,177,rw,r,'0,::sync_rst,Set 1 to SW force the gain
TX_GAIN_FORCE,tx1_gain_force,5:5,177,rw,r,'0,::sync_rst,
TX_GAIN_FORCE,tx2_gain_force,6:6,177,rw,r,'0,::sync_rst,
TX_GAIN_FORCE,tx3_gain_force,7:7,177,rw,r,'0,::sync_rst,
TX0_FINAL_GAIN_FORCE_VAL,tx0_final_gain_force_val,4:0,178,rw,r,'0,::sync_rst,SW forced value for final gain
TX1_FINAL_GAIN_FORCE_VAL,tx1_final_gain_force_val,4:0,179,rw,r,'0,::sync_rst,SW forced value for final gain
TX2_FINAL_GAIN_FORCE_VAL,tx2_final_gain_force_val,4:0,180,rw,r,'0,::sync_rst,SW forced value for final gain
TX3_FINAL_GAIN_FORCE_VAL,tx3_final_gain_force_val,4:0,181,rw,r,'0,::sync_rst,SW forced value for final gain
TX0_GAIN_FORCE_LSB_VAL,tx0_gain_force_lsb_val,7:0,182,rw,r,'0,::sync_rst,
TX0_GAIN_FORCE_MSB_VAL,tx0_gain_force_msb_val,2:0,183,rw,r,'0,::sync_rst,
TX1_GAIN_FORCE_LSB_VAL,tx1_gain_force_lsb_val,7:0,184,rw,r,'0,::sync_rst,
TX1_GAIN_FORCE_MSB_VAL,tx1_gain_force_msb_val,2:0,185,rw,r,'0,::sync_rst,
TX2_GAIN_FORCE_LSB_VAL,tx2_gain_force_lsb_val,7:0,186,rw,r,'0,::sync_rst,
TX2_GAIN_FORCE_MSB_VAL,tx2_gain_force_msb_val,2:0,187,rw,r,'0,::sync_rst,
TX3_GAIN_FORCE_LSB_VAL,tx3_gain_force_lsb_val,7:0,188,rw,r,'0,::sync_rst,
TX3_GAIN_FORCE_MSB_VAL,tx3_gain_force_msb_val,2:0,189,rw,r,'0,::sync_rst,
TX_GAIN_CORR_COEF_0,tx_gain_corr_coef_0,4:0,190,rw,r,'0,::sync_rst,
TX_GAIN_CORR_COEF_1,tx_gain_corr_coef_1,4:0,191,rw,r,'0,::sync_rst,
TX_GAIN_CORR_COEF_2,tx_gain_corr_coef_2,4:0,192,rw,r,'0,::sync_rst,
TX_GAIN_CORR_COEF_3,tx_gain_corr_coef_3,4:0,193,rw,r,'0,::sync_rst,
DET_0_1_ADC_OUT_BIN,det0_adc_out_bin,2:0,194,r,w,'0,,Status Registers
DET_0_1_ADC_OUT_BIN,det1_adc_out_bin,5:3,194,r,w,'0,,
DET_2_3_ADC_OUT_BIN,det2_adc_out_bin,2:0,195,r,w,'0,,
DET_2_3_ADC_OUT_BIN,det3_adc_out_bin,5:3,195,r,w,'0,,
SPARE_ADC_TEMP_ADC_OUT_BIN,spare_adc_out_bin,2:0,196,r,w,'0,,
SPARE_ADC_TEMP_ADC_OUT_BIN,temp_adc_out_bin,6:3,196,r,w,'0,,
TEMP_CORR_CFG,force_ana_temp,0:0,197,rw,r,'0,::sync_rst,
TEMP_CORR_CFG,force_ana_temp_val,2:1,197,rw,r,'0,::sync_rst,
TEMP_CORR_CFG,en_rx_temp_corr,3:3,197,rw,r,'0,::sync_rst,
TEMP_CORR_CFG,en_tx_temp_corr,4:4,197,rw,r,'0,::sync_rst,
TX_LNA_CFG,TX_lna_gain_ctrl,7:0,198,rw,r,'0,::sync_rst,
TEMP_IN_BIN,temp_in_bin,1:0,199,r,w,'0,,
SPI_CFG,force_sdio_to_z,0:0,200,rw,r,'0,::sync_rst,force sdio pin to z
SPI_CFG,force_sdo_to_z,1:1,200,rw,r,'0,::sync_rst,force sdo pin to z
ADC_IN_LSB,adc_in_lsb,7:0,201,r,w,'0,,Status Register
ADC_IN_MSB,adc_in_msb,0:0,202,r,w,'0,,Status Register
SYNC_RST,sync_rst,0:0,203,rw,r,'0,::sync_rst,sync reset all register
TX0_STS_REG,TX0_iphase_ctrl,7:0,204,r,w,'0,,TX0 Statutus Registers
TX0_STS_REG_1,TX0_qphase_ctrl,7:0,205,r,w,'0,,
TX0_STS_REG_2,TX0_sign_i,0:0,206,r,w,'0,,
TX0_STS_REG_2,TX0_sign_q,1:1,206,r,w,'0,,
TX0_STS_REG_3,TX0_gain_ctrl_lsb,7:0,207,r,w,'0,,
TX0_STS_REG_4,TX0_gain_ctrl_msb,2:0,208,r,w,'0,,
TX0_STS_REG_4,TX0_final_gain_ctrl,7:3,208,r,w,'0,,
EXT_CTRL_STS_REG,TX_en,3:0,209,r,w,'0,,
EXT_CTRL_STS_REG,RX_en,7:4,209,r,w,'0,,
EXT_CTRL_STS_REG_1,en_lna,3:0,210,r,w,'0,,
EXT_CTRL_STS_REG_1,en_pa,7:4,210,r,w,'0,,
EXT_CTRL_STS_REG_2,en_neg_sw,0:0,211,r,w,'0,,
EXT_CTRL_STS_REG_2,en_pos_sw,1:1,211,r,w,'0,,
EXT_CTRL_STS_REG_2,TX_lna_en,2:2,211,r,w,'0,,
EXT_CTRL_STS_REG_2,det0_en,3:3,211,r,w,'0,,
EXT_CTRL_STS_REG_2,det1_en,4:4,211,r,w,'0,,
EXT_CTRL_STS_REG_2,det2_en,5:5,211,r,w,'0,,
EXT_CTRL_STS_REG_2,det3_en,6:6,211,r,w,'0,,
