Av,Phase Err Index (Signed),gain (9.0 GHz),Phase error(9.0 GHz)
2020,2,-7.03052330017,3
1719,3,-7.53066682816,3
1593,3,-8.03815555573,3
1491,3,-8.53226661682,3
1402,3,-9.02346801758,3
1303,3,-9.52686405182,3
1230,3,-10.0316371918,3
1156,3,-10.5304422379,3
1074,2,-11.036444664,2
1016,2,-11.5266580582,2
947,2,-12.0346279144,2
887,2,-12.5391111374,2
841,2,-13.0396347046,2
788,2,-13.531329155,2
738,1,-14.0384273529,2
700,2,-14.5078926086,2
654,1,-15.0318622589,1
617,1,-15.5143470764,1
582,1,-16.0224227905,1
555,1,-16.5175666809,1
524,1,-17.0274887085,1
476,0,-17.5346088409,0
459,0,-18.0323905945,0
436,0,-18.5209007263,0
407,0,-19.0285301208,0
390,0,-19.506526947,0
368,0,-20.0199680328,0
348,0,-20.5011348724,0
327,0,-21.0349140167,0
309,0,-21.5443611145,0
292,7,-21.9928588867,-1
275,7,-22.533744812,-1
259,7,-23.0143966675,-1
244,7,-23.5284881592,-1
230,7,-24.0242652893,-1
216,7,-24.5346508026,-1
204,6,-25.0262794495,-2
194,6,-25.4908409119,-2
181,6,-26.050283432,-2
172,6,-26.5303325653,-2
162,6,-27.0320243835,-2
153,6,-27.5301837921,-2
145,6,-27.9958744049,-2
136,6,-28.5640583038,-2
129,6,-29.0185775757,-2
120,6,-29.5464305878,-2
114,6,-30.0184707642,-2
108,5,-30.4988307953,-3
102,5,-31.0361309052,-3
95,5,-31.5861549377,-3
90,5,-32.0240097046,-3
85,5,-32.5663986206,-3
55,6,-33.027545929,-3
43,6,-33.5525550842,-3
36,6,-34.0129890442,-3
28,6,-34.6087989807,-3
23,5,-35.1284942627,-3
19,5,-35.6379013062,-3
17,5,-36.0563316345,-3
15,5,-36.6222000122,-3
13,4,-37.0435752869,-4
11,4,-37.6820869446,-4
10,4,-38.0726127625,-4
9,4,-38.5014953613,-4
