65,240,0,65,240,11.0091438293,-179.708358765
75,235,0,75,235,10.99239254,-176.944961548
85,235,0,85,235,11.0045175552,-174.781585693
100,230,0,100,230,10.9873437881,-170.965698242
110,230,0,110,230,11.0174455643,-168.862564087
120,225,0,120,225,11.0045194626,-166.148513794
130,220,0,130,220,11.0118808746,-163.863632202
140,215,0,140,215,11.0163812637,-160.736862183
150,205,0,150,205,11.0054359436,-157.374954224
160,200,0,160,200,11.0095243454,-154.631713867
170,190,0,170,190,11.0008687973,-151.198730469
175,185,0,175,185,10.9978570938,-149.440216064
185,175,0,185,175,11.0011663437,-146.274734497
190,165,0,190,165,10.9906892776,-143.541809082
200,155,0,200,155,11.01359272,-140.353164673
205,140,0,205,140,10.9945211411,-137.011779785
210,130,0,210,130,10.9965372086,-134.545837402
215,115,0,215,115,10.99568367,-131.530853271
220,100,0,220,100,10.9982852936,-128.441864014
225,90,0,225,90,11.0141582489,-126.45211792
225,80,0,225,80,10.9938249588,-124.551902771
230,60,0,230,60,11.0008745193,-120.683555603
230,50,0,230,50,10.9872303009,-118.618362427
235,35,0,235,35,11.0029668808,-115.346908569
235,25,0,235,25,10.9892225266,-113.219329834
240,10,0,240,10,10.9953508377,-109.535125732
245,0,0,245,0,11.0111713409,-106.239044189
245,261,0,245,-5,11.0233793259,-104.170135498
245,266,0,245,-10,11.0250034332,-102.087425232
240,276,0,240,-20,10.9842500687,-98.9373397827
240,286,0,240,-30,10.9994115829,-95.5620040894
240,296,0,240,-40,11.0129871368,-92.7834777832
235,306,0,235,-50,10.9913434982,-90.1283111572
235,316,0,235,-60,11.0124788284,-87.4147109985
230,331,0,230,-75,11.0000181198,-83.5487365723
225,341,0,225,-85,10.9826040268,-80.8312225342
225,351,0,225,-95,11.0134935379,-78.5889053345
220,361,0,220,-105,11.0072612762,-76.1844863892
215,371,0,215,-115,10.9979219437,-73.8256607056
210,381,0,210,-125,10.9978122711,-70.998046875
200,396,0,200,-140,10.9942674637,-67.0340957642
195,406,0,195,-150,11.003745079,-64.5168228149
185,416,0,185,-160,10.990524292,-61.2035293579
180,421,0,180,-165,10.9931764603,-59.380771637
170,431,0,170,-175,11.0104179382,-55.9635162354
160,436,0,160,-180,10.9919672012,-53.5309066772
150,441,0,150,-185,10.9875822067,-50.9582481384
140,451,0,140,-195,11.0045480728,-48.1559028625
125,461,0,125,-205,11.0147323608,-44.6807441711
115,466,0,115,-210,11.0042695999,-42.5652122498
100,471,0,100,-215,10.9994831085,-39.4152107239
85,476,0,85,-220,11.0089988708,-36.3666267395
70,481,0,70,-225,11.0094804764,-33.4575614929
60,481,0,60,-225,10.9916095734,-31.5992698669
45,486,0,45,-230,10.9995479584,-28.3323402405
30,491,0,30,-235,11.0181264877,-24.951177597
20,491,0,20,-235,10.9966096878,-22.8244857788
5,496,0,5,-240,10.9778680801,-19.3152236938
261,501,0,-5,-245,11.0051956177,-16.0582427979
266,501,0,-10,-245,11.0023183823,-14.2155847549
276,501,0,-20,-245,11.0036659241,-11.0060071945
286,501,0,-30,-245,11.0074977875,-7.99889850616
