468,272,0,-212,-16,-10.9061489105,167.7006073
476,268,0,-220,-12,-10.8521299362,170.712020874
484,264,0,-228,-8,-10.7883110046,173.112030029
492,0,0,-236,0,-11.2003355026,178.380706787
504,4,0,-248,4,-10.8477993011,-177.238082886
504,4,0,-248,4,-10.8477993011,-177.238082886
508,8,0,-252,8,-10.8546590805,-174.261032104
508,12,0,-252,12,-11.0269851685,-171.251602173
508,16,0,-252,16,-11.1249637604,-167.691497803
508,20,0,-252,20,-11.1447668076,-165.037658691
508,24,0,-252,24,-11.1646060944,-163.028579712
508,24,0,-252,24,-11.1646060944,-163.028579712
440,24,0,-184,24,-14.5564832687,-156.180679321
412,24,0,-156,24,-15.9071178436,-153.180541992
472,40,0,-216,40,-13.140996933,-150.259048462
424,32,0,-168,32,-15.1730041504,-147.244934082
508,84,0,-252,84,-11.2002973557,-140.743896484
508,84,0,-252,84,-11.2002973557,-140.743896484
508,96,0,-252,96,-11.0597934723,-137.726394653
508,112,0,-252,112,-10.9631557465,-134.363418579
508,124,0,-252,124,-10.7886819839,-131.349945068
504,136,0,-248,136,-10.8066892624,-128.584335327
500,144,0,-244,144,-10.8843107224,-125.318374634
496,148,0,-240,148,-10.8800802231,-122.988334656
492,156,0,-236,156,-10.8385305405,-120.474060059
488,164,0,-232,164,-10.7620859146,-118.219619751
480,172,0,-224,172,-10.7923936844,-114.293586731
476,176,0,-220,176,-10.7920312881,-112.720535278
464,184,0,-208,184,-10.7726144791,-107.982330322
452,188,0,-196,188,-10.7763652802,-104.573547363
448,188,0,-192,188,-10.8052930832,-103.785964966
436,192,0,-180,192,-10.7773571014,-99.969329834
424,192,0,-168,192,-10.8124494553,-98.0236587524
412,196,0,-156,196,-10.8289203644,-94.6701812744
392,196,0,-136,196,-10.7860174179,-91.134803772
376,196,0,-120,196,-10.8568401337,-87.9701690674
360,196,0,-104,196,-10.800031662,-85.0984573364
344,196,0,-88,196,-10.7908210754,-83.1781997681
328,192,0,-72,192,-10.9022083282,-80.135017395
308,188,0,-52,188,-11.0244560242,-76.8796844482
292,188,0,-36,188,-10.9250812531,-72.5057067871
280,188,0,-24,188,-10.7652006149,-70.4934997559
272,180,0,-16,180,-10.878194809,-68.2462310791
0,176,0,0,176,-10.7524471283,-62.8805389404
8,164,0,8,164,-11.0123987198,-60.1264953613
16,164,0,16,164,-10.7992963791,-57.7173118591
28,156,0,28,156,-10.8575210571,-53.6871261597
40,144,0,40,144,-10.8987922668,-50.7307739258
52,140,0,52,140,-10.8251543045,-48.3006629944
68,128,0,68,128,-10.7833347321,-45.2427902222
84,116,0,84,116,-10.8152284622,-42.0868797302
100,104,0,100,104,-10.7736206055,-39.2914810181
112,96,0,112,96,-10.7522420883,-37.1133079529
124,88,0,124,88,-10.7520942688,-35.0195236206
140,72,0,140,72,-10.7962436676,-32.3610954285
160,60,0,160,60,-10.8003997803,-28.735086441
176,48,0,176,48,-10.8061285019,-25.3252601624
188,40,0,188,40,-10.7883138657,-23.2742938995
196,32,0,196,32,-10.8131151199,-20.485332489
208,24,0,208,24,-10.9624938965,-16.9636592865
220,16,0,220,16,-10.7967472076,-13.5517454147
228,12,0,228,12,-10.8788499832,-10.9991722107
240,4,0,240,4,-10.869846344,-6.26922416687
240,4,0,240,4,-10.869846344,-6.26922416687
244,0,0,244,0,-11.0224123001,-2.52905893326
252,260,0,252,-4,-10.8104696274,0.979206323624
252,264,0,252,-8,-11.0680475235,4.6063580513
252,268,0,252,-12,-11.2309303284,7.29133462906
252,268,0,252,-12,-11.2309303284,7.29133462906
212,272,0,212,-16,-13.5180702209,13.3638391495
244,280,0,244,-24,-12.0828771591,16.5059604645
216,280,0,216,-24,-13.4641885757,19.3143825531
156,276,0,156,-20,-16.2446308136,22.2412128448
212,288,0,212,-32,-13.7250442505,25.2436084747
232,300,0,232,-44,-12.8254947662,28.3839931488
80,272,0,80,-16,-20.6254749298,31.2478790283
132,284,0,132,-28,-17.2397861481,34.1759605408
156,292,0,156,-36,-16.2183265686,37.2296867371
208,316,0,208,-60,-13.6526613235,40.0998954773
156,300,0,156,-44,-15.8230733871,43.2032661438
252,388,0,252,-132,-11.1898946762,49.327419281
252,388,0,252,-132,-11.1898946762,49.327419281
252,404,0,252,-148,-10.9284963608,52.7696723938
248,412,0,248,-156,-10.8889532089,55.7521858215
244,420,0,244,-164,-10.9033555984,58.8600959778
240,428,0,240,-172,-10.9093894958,62.2415046692
236,432,0,236,-176,-10.8640909195,64.0374145508
228,440,0,228,-184,-10.8021736145,67.4623718262
224,444,0,224,-188,-10.7586956024,69.1470718384
212,448,0,212,-192,-10.786280632,73.0593643188
204,452,0,204,-196,-10.7510023117,75.3842010498
