440,288,0,-184,-32,-10.3144416809,167.566207886
444,280,0,-188,-24,-10.3755779266,169.682830811
444,268,0,-188,-12,-10.5345716476,172.975204468
456,0,0,-200,0,-10.3071546555,177.697937012
456,12,0,-200,12,-10.4203128815,-178.582214355
460,20,0,-204,20,-10.3288621902,-175.5496521
460,28,0,-204,28,-10.2789621353,-173.161514282
456,40,0,-200,40,-10.4542474747,-169.770233154
460,48,0,-204,48,-10.4540910721,-167.917526245
460,60,0,-204,60,-10.4020996094,-163.863052368
456,72,0,-200,72,-10.4479875565,-160.961929321
460,80,0,-204,80,-10.2810525894,-158.300064087
456,92,0,-200,92,-10.2864570618,-155.21194458
452,104,0,-196,104,-10.3358125687,-152.563278198
448,116,0,-192,116,-10.3375015259,-148.698577881
444,124,0,-188,124,-10.4652557373,-145.755432129
444,136,0,-188,136,-10.2729654312,-143.55821228
436,144,0,-180,144,-10.320309639,-140.623397827
432,156,0,-176,156,-10.2564535141,-137.026260376
424,164,0,-168,164,-10.2753591537,-134.054626465
420,168,0,-164,168,-10.3265609741,-132.987045288
412,180,0,-156,180,-10.2588748932,-128.945159912
408,180,0,-152,180,-10.3368616104,-127.439666748
400,188,0,-144,188,-10.3076658249,-124.894218445
388,192,0,-132,192,-10.3480262756,-121.591461182
380,200,0,-124,200,-10.2593317032,-118.521011353
364,204,0,-108,204,-10.2715349197,-114.715270996
356,208,0,-100,208,-10.2620439529,-112.355430603
344,212,0,-88,212,-10.2503204346,-109.571678162
328,212,0,-72,212,-10.3434019089,-105.937446594
316,216,0,-60,216,-10.2641658783,-102.846138
304,216,0,-48,216,-10.2649822235,-100.337432861
296,216,0,-40,216,-10.2977218628,-97.8094863892
284,216,0,-28,216,-10.3606433868,-94.7396240234
272,216,0,-16,216,-10.3217763901,-92.1304473877
276,216,0,-20,216,-10.3521318436,-92.61277771
12,208,0,12,208,-10.5531158447,-79.7673721313
8,220,0,8,220,-10.4787797928,-81.3379592896
16,204,0,16,204,-10.5535888672,-77.3226852417
20,208,0,20,208,-10.3283309937,-75.2885131836
28,204,0,28,204,-10.4045343399,-72.2833557129
36,200,0,36,200,-10.2779474258,-68.6506881714
44,196,0,44,196,-10.3331441879,-66.1920318604
52,192,0,52,192,-10.2511548996,-62.9386558533
60,188,0,60,188,-10.2649707794,-60.3052902222
