472,264,0,-216,-8,-12.2615509033,169.85710144
480,260,0,-224,-4,-12.3787240982,173.319488525
480,260,0,-224,-4,-12.3787240982,173.319488525
492,0,0,-236,0,-12.4306783676,177.978485107
500,4,0,-244,4,-12.3115625381,-176.166534424
500,4,0,-244,4,-12.3115625381,-176.166534424
504,8,0,-248,8,-12.3350248337,-171.70413208
508,12,0,-252,12,-12.2504987717,-168.28692627
508,16,0,-252,16,-12.3848018646,-164.732086182
508,20,0,-252,20,-12.4380331039,-162.09513855
508,24,0,-252,24,-12.5124349594,-159.665206909
508,28,0,-252,28,-12.5548143387,-157.375961304
508,36,0,-252,36,-12.5912504196,-153.116592407
508,40,0,-252,40,-12.5822019577,-151.227401733
508,48,0,-252,48,-12.5427055359,-148.032699585
508,56,0,-252,56,-12.52003479,-145.117538452
508,68,0,-252,68,-12.437046051,-141.35105896
508,80,0,-252,80,-12.3293333054,-138.142532349
508,88,0,-252,88,-12.2693395615,-136.088180542
504,100,0,-248,100,-12.3311681747,-132.471374512
500,108,0,-244,108,-12.4291095734,-129.663742065
500,120,0,-244,120,-12.2735977173,-127.237350464
496,132,0,-240,132,-12.2605304718,-123.893173218
492,140,0,-236,140,-12.3045043945,-120.814247131
488,148,0,-232,148,-12.2836151123,-118.390411377
480,156,0,-224,156,-12.2871456146,-114.839279175
476,160,0,-220,160,-12.3039073944,-112.333610535
468,168,0,-212,168,-12.2507009506,-108.99924469
460,172,0,-204,172,-12.2925214767,-106.487098694
448,176,0,-192,176,-12.2700529099,-103.157615662
436,180,0,-180,180,-12.2621440887,-99.6203689575
432,180,0,-176,180,-12.288690567,-98.9688720703
416,180,0,-160,180,-12.3542070389,-95.7292633057
404,184,0,-148,184,-12.2791852951,-92.641708374
392,184,0,-136,184,-12.3060913086,-90.3780059814
372,184,0,-116,184,-12.3051490784,-87.1062088013
352,184,0,-96,184,-12.2628879547,-83.8198699951
336,180,0,-80,180,-12.3653211594,-81.0971832275
320,180,0,-64,180,-12.2881832123,-77.9923782349
304,176,0,-48,176,-12.3274965286,-74.8859634399
292,172,0,-36,172,-12.356297493,-72.3028945923
280,168,0,-24,168,-12.3380727768,-69.194694519
268,160,0,-12,160,-12.3676195145,-65.7674484253
0,156,0,0,156,-12.3326444626,-61.2729492188
8,148,0,8,148,-12.3744344711,-58.2421722412
16,140,0,16,140,-12.3798494339,-55.0249290466
28,128,0,28,128,-12.4222555161,-51.7479362488
36,124,0,36,124,-12.2890357971,-49.2674331665
48,112,0,48,112,-12.3466482162,-45.9792556763
60,104,0,60,104,-12.3033676147,-43.580039978
76,92,0,76,92,-12.2651605606,-40.3222312927
84,84,0,84,84,-12.3072052002,-38.3993682861
96,76,0,96,76,-12.2827539444,-36.1252098083
112,64,0,112,64,-12.3284749985,-33.0757484436
128,56,0,128,56,-12.2869205475,-30.3083267212
148,44,0,148,44,-12.3217191696,-26.5335769653
164,36,0,164,36,-12.2558336258,-23.3367977142
176,28,0,176,28,-12.3212852478,-20.4234638214
184,24,0,184,24,-12.3437070847,-18.6824550629
200,16,0,200,16,-12.2982540131,-14.3370723724
208,12,0,208,12,-12.3180580139,-11.7331542969
216,8,0,216,8,-12.3965463638,-8.88187599182
228,4,0,228,4,-12.2517089844,-5.13739442825
228,4,0,228,4,-12.2517089844,-5.13739442825
236,0,0,236,0,-12.3872699738,-0.676069319248
244,260,0,244,-4,-12.3398733139,5.66498756409
244,260,0,244,-4,-12.3398733139,5.66498756409
248,264,0,248,-8,-12.3932991028,10.0249195099
252,268,0,252,-12,-12.3256216049,13.8437948227
252,268,0,252,-12,-12.3256216049,13.8437948227
252,272,0,252,-16,-12.4680223465,17.2625312805
252,276,0,252,-20,-12.5667085648,20.0266895294
252,284,0,252,-28,-12.6740055084,24.9708919525
252,288,0,252,-32,-12.6974229813,27.4414691925
