436,288,0,-180,-32,-10.2517871857,166.753433228
440,276,0,-184,-20,-10.3531513214,170.017410278
444,264,0,-188,-8,-10.4030122757,174.246124268
452,0,0,-196,0,-10.2825965881,176.680221558
452,12,0,-196,12,-10.5086069107,-178.531799316
456,20,0,-200,20,-10.3199415207,-175.899627686
456,28,0,-200,28,-10.4471073151,-172.903533936
456,36,0,-200,36,-10.4761095047,-170.758377075
456,48,0,-200,48,-10.4566116333,-166.894561768
456,56,0,-200,56,-10.4628572464,-164.446166992
456,68,0,-200,68,-10.3645334244,-160.850387573
456,80,0,-200,80,-10.2574558258,-157.638519287
456,88,0,-200,88,-10.2631044388,-155.664932251
448,100,0,-192,100,-10.4262313843,-151.836715698
448,108,0,-192,108,-10.3264436722,-149.567321777
444,120,0,-188,120,-10.3924150467,-145.709197998
444,128,0,-188,128,-10.2624788284,-144.244750977
436,140,0,-180,140,-10.2897748947,-139.891601563
436,148,0,-180,148,-10.2515602112,-138.05456543
424,160,0,-168,160,-10.2621068954,-133.863723755
420,164,0,-164,164,-10.31985569,-131.440673828
412,172,0,-156,172,-10.3311738968,-128.225448608
404,176,0,-148,176,-10.3087291718,-126.079292297
400,180,0,-144,180,-10.280962944,-124.441070557
388,188,0,-132,188,-10.2815485001,-120.581863403
380,188,0,-124,188,-10.3875045776,-118.750953674
368,196,0,-112,196,-10.2508583069,-114.746643066
360,200,0,-104,200,-10.2520637512,-112.53767395
344,200,0,-88,200,-10.3345603943,-109.479393005
332,204,0,-76,204,-10.2946376801,-105.673027039
320,204,0,-64,204,-10.3375015259,-103.939964294
312,208,0,-56,208,-10.2504491806,-100.791091919
296,208,0,-40,208,-10.2962846756,-96.6460723877
288,208,0,-32,208,-10.2612752914,-94.7472000122
276,208,0,-20,208,-10.2812242508,-91.4255218506
272,204,0,-16,204,-10.3786535263,-90.5360870361
4,220,0,4,220,-10.484167099,-82.7308959961
8,204,0,8,204,-10.2683076859,-80.3416748047
12,200,0,12,200,-10.3503379822,-78.2805404663
16,196,0,16,196,-10.4107789993,-75.5057754517
24,192,0,24,192,-10.5126342773,-71.7540740967
28,192,0,28,192,-10.3698759079,-70.1684417725
40,184,0,40,184,-10.3736963272,-65.3979644775
48,180,0,48,180,-10.3527822495,-62.5396385193
52,176,0,52,176,-10.3146324158,-60.8869819641
64,168,0,64,168,-10.3556575775,-56.761177063
72,164,0,72,164,-10.2916193008,-54.3414001465
80,156,0,80,156,-10.3122234344,-51.4566192627
92,148,0,92,148,-10.3478851318,-47.8994178772
96,144,0,96,144,-10.263220787,-46.357925415
108,132,0,108,132,-10.3708753586,-43.0704078674
120,120,0,120,120,-10.280380249,-38.7202072144
124,116,0,124,116,-10.3293504715,-37.8646469116
132,104,0,132,104,-10.3037872314,-34.1435546875
